龙之战,动作 战争 历史 ,2017年,英文名：The War of Loong,未知,0.0 ,"
									《龙之战》是由高峰执导，刘佩琦、曹云金、罗昱焜领衔主演的战争史诗电影 。
影片改编自中国近代史上的“镇南关大捷”战役，讲述了1885年，法军进攻越南凉山，驻守清军不战而退，清朝政府的统治地位遭到威胁，慈禧召集众臣商讨派谁挂帅，最终启用了年近七旬的退隐老将冯子材，但当时广西军民已被法军的残忍手段吓破胆，有严重畏战情绪。为了激励军民，冯子材出奇兵成功伏击攻克龙临镇的北非雇佣军，生擒黑人上尉克拉克，并当众与其决斗，刀斩悍敌，振奋军心。冯子材亲自勘察地形，修建关前隘，率领人马伏击尼格里的炮弹运输船，不料落入尼格里的陷阱，损失惨重。依南也遭法军生擒，所幸法军驻地的越南女子阮月偷偷放走了她，还给她指引了去找黑旗军将领刘永福的道路。被激怒的尼格里，不等炮弹和援军到来，就对关前隘发动了全面攻击，冯子材持刀率先杀敌，全军振奋，猛烈出击，与法军进行一场惨烈的白刃格。
影片于2017年6月18日在第20届上海国际电影节首映，2017年8月4日在中国大陆上映								",http://posters.imdb.cn/upload/2017/08/05/QngcKVI1u_1501923437.jpg
侠盗联盟,动作 冒险 ,2017年,英文名：The Adventures,冯德伦 Stephen Fung,0.0 ,"
									《侠盗联盟》由冯德伦执导并担任编剧，刘德华、舒淇、张静初、杨祐宁及让·雷诺领衔主。
影片讲述了江洋大盗张丹（刘德华 饰）在一次行动中遭遇黑吃黑，失手被擒入狱。五年后，出狱的张丹会合老搭档小宝（杨祐宁 饰），与新入伙的叶红（舒淇 饰）联手，在追捕自己多年的法国警探皮埃尔（让·雷诺 饰）眼皮底下盗窃得手。
小试身手之后，张丹找到宝物的买家——与自己情同父子的犯罪组织头目金刚（曾志伟 饰），二人重逢之后，张丹接到新的任务。与此同时，为将张丹一伙人捉拿归案，皮埃尔说服对张丹因爱生恨的前女友Amber（张静初 饰）加入追捕行动。
从戛纳到布拉格，跨越欧洲大陆的猫鼠游戏正激烈上演。几次短兵相接后，张丹的行踪逐渐被皮埃尔掌握。而随着一行人接近终极目标，张丹的真实计划也逐渐浮出水面……。
该片于2017年8月11日在中国内地上映。								",http://posters.imdb.cn/upload/2017/08/05/Z3uUVjqr6_1501920745.jpg
嗨翻姐妹行,喜剧 ,2017年,英文名：Girls Trip,马尔科姆·李 Malcolm D. Lee,7.1,"
									《嗨翻姐妹行》是马尔科姆·D·李执导的美国喜剧电影，该片于2017年出品。影片讲述了四位好姐妹一起去新奥尔良参加音乐节，姐妹们的热情被重新点燃后一起歌舞和疯狂的故事								",http://posters.imdb.cn/upload/2017/08/03/45faZwmC1_1501729270.jpg
表情奇幻冒险 ,剧情 喜剧 冒险 动画 ,2017年,英文名：The Emoji Movie,安东尼·莱昂迪斯 Anthony Leondis,1.5,"
									《表情奇幻冒险》是由安东尼·莱昂迪斯执导，索尼电影娱乐公司发行，T·J·米勒、帕特里克·斯图尔特、安娜·法瑞丝等参与配音的动画喜剧电影。该片于2017年7月28日在美国上映。
影片讲述了住在信息软件中文字大都市的“Emoji表情”们每人应只有一个表情，只有吉恩与众不同，表情丰富的他想恢复“正常”，便请来嗨老五和杰尔布蕾帮忙。三人踏上“手机软件冒险之旅”，穿梭软件间寻找能让吉恩恢复“正常”的代码。但手机世界面临着更大危险，所有表情的命运握在三人手中，如果他们无法力挽狂澜，那么所有表情们都将被永远删除。								",http://posters.imdb.cn/upload/2017/08/03/DBTj7Ql6P_1501728970.jpg
猎凶风河谷,动作 惊怵 犯罪 ,2017年,英文名：Wind River,Taylor Sheridan,7.5,"
									《猎凶风河谷》是由《边境杀手》编剧泰勒·谢里丹自编自导，杰瑞米·雷纳和伊丽莎白·奥尔森主演的一部犯罪惊悚片。杰瑞米·雷纳出演一位挣扎于丧女之痛的猎人，伊丽莎白·奥尔森出演FBI探员，“鹰眼”杰瑞米·雷纳和“猩红女巫”伊丽莎白·奥尔森合作的惊悚剧情片《猎凶风河谷》，该片是《边境杀手》编剧泰勒·谢里丹的导演处女作。故事聚焦雷纳饰演的美国鱼类及野生动物管理局探员科里协助奥尔森饰演的FBI菜鸟探员，调查一宗发生在风河谷的少女谋杀案，但是伴随案件侦破，科里悲惨的过往也被残忍掀开……究竟少女的死背后隐藏着怎样的谜团？男主角的内心又有着怎样无法面对的创伤？男女主角在破案的过程里，渐渐走入了一场充满人性挣扎的迷雾当中，他们的危险处境也开始慢慢升级……。								",http://posters.imdb.cn/upload/2017/08/03/aKmVMitX2_1501727925.jpg
黑暗塔,动作 冒险 奇幻 ,2017年,英文名：The Dark Tower,Nicolai Arcel,0.0 ,"
									《黑暗塔》是改编自斯蒂芬·金同名小说，由尼柯莱·阿塞尔自编自导，伊德里斯·艾尔巴、马修·麦康纳、阿比·丽等主演的奇幻恐怖电影，将于2017年8月4日在美国上映。[1] 
该片讲述了最后的骑士“枪侠”罗兰与企图摧毁黑暗塔的“黑衣人”沃特·奥丁之间正邪大战的故事,“中世界”最后一位枪侠罗兰率先亮相，他为了拯救世界而踏上了寻找黑暗塔的征程。随后小正太汤姆·泰勒饰演的杰克在睡梦中惊醒，他拥有黑衣人正在找寻的超能力The Shine，并追随梦境的指引闯入平行世界寻找罗兰，就在二人成功会师后，一场与“比恶魔更坏”的黑衣人展开的恶战拉开大幕。。								",http://posters.imdb.cn/upload/2017/08/03/XWWz00m5S_1501727123.jpg
三生三世十里桃花,剧情 爱情 奇幻 ,2017年,英文名：Once Upon a Time ,Anthony LaMolin|赵小丁 Xiaoding Zhao,0.0 ,"
									《三生三世十里桃花》是由阿里影业、儒意影业联合出品，由赵小丁、安东尼·拉默里纳拉联合执导，刘亦菲、杨洋领衔主演，罗晋、严屹宽、李纯、顾璇、彭子苏等联袂出演的古装玄幻爱情仙侠电影，于2017年8月3日在全国上映，于8月11日在北美上映。该片以同名网络长篇小说《三生三世十里桃花》为基础改编，讲述了天族战神墨渊镇压鬼君擎苍（严屹宽饰）于无妄海，魂飞魄散，仙体冰封于青丘炎华洞内。
青丘帝姬白浅（刘亦菲饰）同天族太子夜华（杨洋饰）早有婚约，二人却一直未曾相见。直至东海盛宴，夜华发现白浅竟然同亡妻素素相貌一样，就势住进白浅的青丘，放下太子身段，为求解开白浅与素素之谜。
夜华侧妃素锦（李纯饰）生妒，暗中协助鬼族王后玄女（顾璇饰）抢走墨渊仙体。白浅一怒之下血战鬼族大紫明宫，身负重伤，终被夜华救下。白浅跟随夜华来到九重天，通过天族圣器结魄灯恢复记忆，回想起身为素素一世之时所受伤害，不能原谅夜华。陷害白浅的素锦受到责罚，发配至无妄海，由妒生恨，终至疯狂，利用夜华之子小天孙阿离（彭子苏饰）之血释放出被墨渊封印的鬼君擎苍。夜华为维护四海八荒，以元神生祭东皇钟，将擎苍封印。
世事轮回，万般纠葛不过一个爱字。命运轮回，夜华与白浅究竟何去何从。。								",http://posters.imdb.cn/upload/2017/08/03/OvMNNFmZ8_1501726578.jpg
父子雄兵,剧情 喜剧 ,2017年,英文名：Father And Son,未知,5.6,"
									《父子雄兵》是万达影视传媒有限公司、上海他城影业有限公司等出品的喜剧电影，由大鹏监制，袁卫东执导，大鹏、范伟、张天爱、乔杉、邬君梅、任达华、梁龙主演。该片讲述了梦想靠大项目咸鱼翻身的范小兵（大鹏饰）始终无法摆脱一个阴影，那就是退伍军人出身的老爹范英雄（范伟饰）。小兵油嘴滑舌爱忽悠，英雄刚正不阿会武术，小兵斗英雄，天雷勾地火。卤煮店小老板刘雯（张天爱饰）与小兵相识十年，两人友达之上恋爱未满，她是小兵唯一愿意吐露真心的港湾。范小兵欠下大老板OK哥（任达华饰）的钱，被追债小弟方健（乔杉饰）一路折磨，倒霉不断，还面临凶狠狗哥（梁龙饰）的生命威胁。范小兵不得已将弄钱对象转向老爹，不知情的范英雄此时正躲闪着邻居邬仙仙（邬君梅饰）如狼似虎的猛烈追求，殊不知儿子范小兵已经针对自己开启了一个搞笑又荒唐的惊天计划。影片于2017年7月21日在中国大陆上映。								",http://posters.imdb.cn/upload/2017/07/31/FTKV3NMSu_1501492290.jpg
战狼2,动作 战争 ,2017年,英文名：Wolf Warriors Ⅱ,未知,7.4,"
									《战狼Ⅱ》是吴京执导的3D动作、战争、军事类型的电影，由吴京、弗兰克·格里罗、吴刚、张翰、卢靖姗、丁海峰等主演。
故事发生在非洲附近的大海上，主人公冷锋遭遇人生滑铁卢，被“开除军籍”，本想漂泊一生的他，正当他打算这么做的时候，一场突如其来的意外打破了他的计划，突然被卷入了一场非洲国家叛乱，本可以安全撤离，却因无法忘记曾经为军人的使命，孤身犯险冲回沦陷区，带领身陷屠杀中的同胞和难民，展开生死逃亡。随着斗争的持续，体内的狼性逐渐复苏，最终孤身闯入战乱区域，为同胞而战斗。。该片于2017年7月27日在中国内地上映。7月27日晚8点01分，电影《战狼2》正式全国上映。4小时内横扫9741万票房，上座率更飙至59.1%，彻底点燃了暑期档。一起被点燃的还有观众的情绪和好口碑。								",http://posters.imdb.cn/upload/2017/07/31/FZlzoU4eG_1501491746.jpg
建军大业,剧情 历史 ,2017年,英文名：The Founding of an Army,刘伟强 Wai Keung Lau,0.0 ,"
									《建军大业》是“建国三部曲”系列的第三部，献礼建军90周年，该片由刘伟强执导，韩三平担任总策划及艺术总监，黄建新监制，刘烨、朱亚文、黄志忠、王景春、欧豪、刘昊然、马天宇等主演。影片讲述了公元1949年9月30日，北平南苑机场，一位无名的红军老兵（郭晓东饰）闯入阅兵仪式，代表三河坝战役牺牲的战友们向毛泽东敬礼，勾起了56岁的毛泽东（唐国强饰）的回忆，那一刻，他似乎回到了22年前，1927年4月12日，上海爆发了四一二反革命政变，大批党员干部被屠杀。共产党人拿起武器，在周恩来、毛泽东、朱德等人的领导下，先后发动了南昌起义和秋收起义，一支全新的强大的人民军队诞生了。影片于2017年7月27日在中国大陆上映，8月3日在中国香港及澳门上映。								",http://posters.imdb.cn/upload/2017/07/31/8Pkz5dLhw_1501491086.jpg
